date,% Iron Feed,% Silica Feed,Starch Flow,Amina Flow,Ore Pulp Flow,Ore Pulp pH,Ore Pulp Density,Flotation Column 01 Air Flow,Flotation Column 02 Air Flow,Flotation Column 03 Air Flow,Flotation Column 04 Air Flow,Flotation Column 05 Air Flow,Flotation Column 06 Air Flow,Flotation Column 07 Air Flow,Flotation Column 01 Level,Flotation Column 02 Level,Flotation Column 03 Level,Flotation Column 04 Level,Flotation Column 05 Level,Flotation Column 06 Level,Flotation Column 07 Level,% Iron Concentrate,% Silica Concentrate
2017-03-10 01:00:00,55.2,16.98,3158.01,581.421,398.20349999999996,10.11605,1.74,250.5595,250.071,250.17000000000002,295.096,306.4,250.752,250.162,450.552,489.9715,450.5245,453.2735,456.06,461.448,450.191,66.91,1.31
2017-03-10 02:00:00,55.2,16.98,3295.56,540.8935,399.9755,10.1415,1.66919,249.609,250.236,249.851,295.096,306.4,250.0435,249.93349999999998,449.063,447.0375,450.409,449.698,450.265,456.562,452.096,67.06,1.11
2017-03-10 03:00:00,55.2,16.98,3469.1400000000003,593.5975000000001,399.023,10.07225,1.734005,250.378,250.4,250.192,295.096,306.4,250.269,250.148,450.4895,445.76300000000003,450.6485,448.935,453.168,458.115,445.34000000000003,66.97,1.27
2017-03-10 04:00:00,55.2,16.98,3284.7200000000003,593.201,399.902,9.938189999999999,1.72847,250.214,250.148,250.269,295.096,306.4,249.258,249.84,462.4635,484.22249999999997,459.9415,476.11199999999997,485.41700000000003,487.992,496.332,66.75,1.36
2017-03-10 05:00:00,55.2,16.98,3382.665,619.9645,399.3455,9.721630000000001,1.7668499999999998,249.236,250.313,250.203,295.096,306.4,250.444,249.697,548.81,548.307,550.313,549.336,550.009,558.4495,549.4670000000001,66.63,1.34
2017-03-10 06:00:00,55.2,16.98,3377.7349999999997,621.6890000000001,399.756,9.89912,1.765505,249.39,250.214,249.961,295.096,306.4,250.05450000000002,249.97199999999998,550.637,549.584,550.34,550.1175,549.2384999999999,558.4359999999999,549.9935,66.85,1.15
2017-03-10 07:00:00,54.95,17.4,3232.42,618.896,400.474,10.2016,1.76531,250.3015,250.488,249.8895,295.096,306.4,250.071,250.17000000000002,549.5985000000001,550.419,552.187,550.508,549.3489999999999,570.8399999999999,549.315,65.76,2.76
2017-03-10 08:00:00,54.95,17.4,3428.315,597.534,400.166,10.18595,1.767245,248.9555,250.356,249.675,295.096,306.4,250.181,250.0105,550.604,549.713,549.5165,548.6320000000001,550.261,565.1700000000001,548.2125000000001,65.89,2.65
2017-03-10 09:00:00,54.95,17.4,3862.3050000000003,592.346,400.1585,9.9153,1.76,249.554,249.609,249.5815,295.096,306.4,250.3395,249.719,549.736,549.44,550.988,550.586,548.8520000000001,561.809,547.22,66.68,1.73
2017-03-10 10:00:00,54.95,17.4,3565.43,583.496,399.78549999999996,10.102450000000001,1.76,249.434,249.873,249.807,295.096,306.4,250.2855,249.4725,550.487,549.925,549.3005,549.2585,545.782,555.482,548.113,66.52,1.81
2017-03-10 11:00:00,54.95,17.4,3595.62,566.559,399.93899999999996,10.2181,1.774495,250.499,250.4,249.972,295.096,306.4,250.28,249.906,549.5609999999999,552.686,549.9069999999999,550.9355,554.253,550.2035000000001,551.481,65.55,2.83
2017-03-10 12:00:00,54.95,17.4,4474.27,562.073,399.609,10.0425,1.7781600000000002,249.532,249.9115,249.873,295.096,306.4,250.071,249.9995,550.5995,548.8185000000001,550.394,549.55,547.49,552.696,546.625,65.55,2.83
2017-03-10 13:00:00,54.95,17.4,4714.355,546.143,400.283,10.31725,1.7755,249.80700000000002,249.829,250.269,295.096,306.4,250.049,250.1205,550.187,549.5264999999999,548.941,549.5125,549.3634999999999,554.992,548.5695000000001,66.74,1.5
2017-03-10 14:00:00,54.95,17.4,4184.57,534.668,399.7995,10.4137,1.78,249.34050000000002,249.5815,250.1975,295.096,306.4,250.005,249.741,550.312,549.625,551.0975000000001,553.358,552.846,551.45,548.5035,66.26,1.94
2017-03-10 15:00:00,54.95,17.4,5444.24,517.578,398.5985,10.260100000000001,1.78018,249.37349999999998,250.214,250.543,295.096,306.4,250.049,250.049,549.6610000000001,550.561,549.665,552.2075,550.7249999999999,556.0275,550.4375,67.6,1.09
2017-03-10 16:00:00,55.99,17.16,5344.1900000000005,511.8865,399.192,10.3734,1.78,250.269,249.76850000000002,250.05450000000002,295.096,306.4,250.049,249.829,549.7860000000001,549.4835,552.014,549.0625,551.385,561.74,548.4085,67.3,1.51
2017-03-10 17:00:00,55.99,17.16,5286.625,560.76,399.7635,10.35375,1.76,249.5,250.1425,250.356,295.096,306.4,249.994,250.005,549.536,550.744,550.127,549.063,551.33,568.1785,548.0625,66.3,1.96
2017-03-10 18:00:00,55.99,17.16,5378.71,530.396,400.4225,10.2667,1.753425,248.95,250.071,250.1865,295.096,306.4,250.027,250.05450000000002,549.336,548.339,550.4749999999999,548.3025,548.9225,560.914,543.5074999999999,66.21,3.57
2017-03-10 19:00:00,55.99,17.16,4883.005,450.1645,398.6645,10.4028,1.75,249.675,250.0965,249.8785,295.096,306.4,250.027,250.049,550.537,549.2425000000001,548.887,549.9200000000001,549.364,556.1400000000001,547.61,67.24,1.12
2017-03-10 20:00:00,55.99,17.16,5023.485000000001,441.13149999999996,399.0525,10.08605,1.749415,249.60899999999998,250.093,250.214,295.096,306.4,250.01049999999998,249.873,544.9565,542.3064999999999,543.8275000000001,541.037,534.009,551.94,541.552,66.23,1.49
2017-03-10 21:00:00,55.99,17.16,4944.139999999999,430.9845,399.0085,10.125599999999999,1.690655,249.4505,250.389,250.269,295.096,306.4,250.049,249.774,455.144,495.8365,455.245,443.183,446.516,458.802,443.558,66.42,1.47
